"id","cat_id","sub_cat_id","author_ids","book_access","title","description","image","url_type","url","download_enable","book_on_rent","book_rent_price","book_rent_time","featured","status"
"32733678","1","16","240672","Free","One Good Cowboy","The most honorable cowboy in Wrangler's Creek is about to get an offer he can't refuse…Carson Rowley expects Granger Ranch office manager Evie Martin to do any number of things when he breaks the news that her “on again, off again” boyfriend has eloped with a stripper. Cry, maybe. Curse, probably. Kiss him senseless? Nope…didn't predict that. Now that Evie's offering what he secretly craves, there's only one question: Just how bad should a good cowboy be?Evie's nowhere near as heartbroken over her unreliable ex as everyone in Wrangler's Creek expects. Especially once it's clear that her long-simmering crush on Carson is mutual. Carson's not the casual type, and inviting him into her bed means inviting him into her heart. But once he's there, she may never want him to leave…","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490450754i/32733678.jpg","local","upload\Delores Fossen\One_Good_Cowboy_-_Delores_Fossen.epub","0","0","0.00","0","0","1"
"32739343","1","1","14185619","Free","Ascendancy Redemption","Jackson is trapped in hell, and all he wants to do is get back to the people he loves. Getting out of hell isn't as easy as he wanted it to be, but nothing worth having in life is ever easy. Will he be able to find his way home, and repair his relationship with the woman that he loves? Follow along with this stunning conclusion to Ascendancy Legacy Series.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1477366999i/32739343.jpg","local","upload\Bradford Bates\Ascendancy_Redemption_-_Bradford_Bates.epub","0","0","0.00","0","0","1"
"32740645","1","17","4121443","Free","The Wound of the World","Dante and Blays have forced Gladdic from the Collen Basin. But the victory might only be the first battle in a much larger war. With the land on the brink of starvation and politically fractured, Dante and Blays scramble to secure Collen's food, borders, and allies. Before their work is done, rumor arrives from Mallon. The enemy is mustering for another attack. Even if Collen can weather the coming storm, there's no guarantee their independence will last out the year. During a border raid, Dante learns Gladdic has fled to the shadowy realm of Tanar Atain, home of the Andrac. And the secrets Gladdic returns with could tip the balance of power forever.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1477379736i/32740645.jpg","local","upload\Edward W. Robertson\The_Wound_of_the_World_-_Edward_W._Robertson.epub","0","0","0.00","0","0","1"
"32765205","1","17","15287815","Free","Benjamin Ashwood","Epic Fantasy at its best. This classic swords and sorcery tale is inspired by Robert Jordan's Wheel of Time and Tolkien's The Hobbit. If you liked them, you will love Benjamin Ashwood.Life is simple in Ben’s small town until an attack brings the arrival of exciting strangers straight out of a story. Before Ben understands what is happening, he embarks on a dangerous journey to help his friends. A mage, demons, thieves and assassins are just a few of the perils he will face while trying to make it to safety. But things aren’t always what they seem and safety is a fragile concept when the destructive behaviors of the powerful are exercised unchecked. In Ben's world - like our own - political, economic and military might create a system to keep the elite in power at the expense of the common man. As the series unfolds and Ben's knowledge and skill grows, he will have to decide if he wants to live within the system, flee from it or break it.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1477428416i/32765205.jpg","local","uploads/A. C. Cobble/Benjamin_Ashwood_-_A._C._Cobble.epub","0","0","0.00","0","0","1"
"32799199","1","17","1228627","Free","A Viking Holiday","Having time travelers in your life isn’t always easy. Given that he’s said goodbye to several of them over the past few years, Sean O’Conner knows that better than most. Now his best friend Megan has returned from tenth-century Scandinavia to modern day Maine. Not only has she aged over twenty-five years, she hasn’t traveled through time alone. Her troublesome daughter Svala is with her.  Of dragon blood and proud to be Viking, Svala Sigdir has no use for the twenty-first century and makes it evident to all around her. Even so, she will protect her mother at all cost. Meanwhile, she needs a man. Sean to be exact. Despite his aversion, she is determined to make him hers.  Svala might be after him, but Sean wants nothing to do with her. At least that’s what he tells himself as the holidays arrive and he struggles to keep peace in what’s become a battleground instead of a festive Winter Harbor home. At his wit’s end, he finally calls on an old friend’s help. Or so he had hoped. Cast beneath the spell of a powerful Scottish wizard determined to protect his Viking Ancestors, Sean and Svala go on an unexpected yuletide journey. As it turns out, there’s only one way to break free from the spell. A life-altering choice that might very well cost Sean both his sanity and his heart.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1477654708i/32799199.jpg","local","upload\Sky Purington\A_Viking_Holiday_-_Sky_Purington.epub","0","0","0.00","0","0","1"
"32835140","1","12","17065","Free","Secrets in Death","The chic Manhattan nightspot Du Vin is not the kind of place Eve Dallas would usually patronize, and it’s not the kind of bar where a lot of blood gets spilled. But that’s exactly what happens one cold February evening.The mortally wounded woman is Larinda Mars, a self-described “social information reporter,” or as most people would call it, a professional gossip. As it turns out, she was keeping the most shocking stories quiet, for profitable use in her side business as a blackmailer. Setting her sights on rich, prominent marks, she’d find out what they most wanted to keep hidden and then bleed them dry. Now someone’s done the same to her, literally—with a knife to the brachial artery.Eve didn’t like Larinda Mars. But she likes murder even less. To find justice for this victim, she’ll have to plunge into the dirty little secrets of all the people Larinda Mars victimized herself. But along the way, she may be exposed to some information she really didn’t want to know…","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1504766639i/32835140.jpg","local","upload\J D Robb\45_Secrets_in_Death_-_J._D._Robb.epub","0","0","0.00","0","0","1"
"32841039","1","17","9852801","Free","The Seven","Years have passed since the Vagrant journeyed to the Shining City, Vesper in arm and Gamma’s sword in hand.Since then the world has changed. Vesper, following the footsteps of her father, journeyed to the breach and closed the tear between worlds, protecting the last of humanity, but also trapping the infernal horde and all those that fell to its corruptions: willing or otherwise.In this new age it is Vesper who leads the charge towards unity and peace, with seemingly nothing standing between the world and a bright new future.That is until eyes open.And The Seven awakes.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488956042i/32841039.jpg","local","upload\Peter  Newman\The_Seven_-_Peter_Newman.epub","0","0","0.00","0","0","1"
"32858115","1","17","5804101","Free","Sandrunners","A short story set in The Draconis Memoria universe created by New York Times Bestselling author Anthony Ryan.  In this prequel story to The Waking Fire, newly graduated Blood-blessed Ethelynne Drystone accompanies the Sandrunners Indepdent Contractor Company on a dangerous mission to the Arradsian Interior, intent on finding the lair of the legendary White Drake. ","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478090169i/32858115.jpg","local","uploads/Anthony Ryan/Sandrunners_-_Anthony_Ryan.epub","0","0","0.00","0","0","1"
"32873495","1","45","41942","Free","Moonbreaker","""Ride shotgun with a ""James Bond-of-the-supernatural""* as the Secret Histories Novels take you careering through an alternate London where around every corner a new kind of danger awaits.... My name is Eddie Drood, aka Shaman Bond, the very secret agent. And I am a dead man walking. I've been poisoned by Dr. DOA. There is no cure, no treatment, no chance of a last-minute miracle. So all that is left to me and my love, Molly Metcalf, is to track down my killer and stop him before he can murder anyone else. So whether that means fighting a secret army on another world; or searching for a forgotten weapon in the Museum of Unattached Oddities; or facing off against Grendel Rex, the Unforgiven God, in the hidden heart of the Moon, for the terrible secret that is Moonbreaker...I will do whatever it takes, while I still can. Because the game isn't over till I say it's over--and I still have one last card to play""--","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478300031i/32873495.jpg","local","upload\Simon R. Green\Moonbreaker_-_Simon_R._Green.epub","0","0","0.00","0","0","1"
"32873928","1","12","48895","Free","Deadfall","Hunting a killer within New York's urban jungle becomes the biggest case of Alexandra Cooper's career in New York Times bestselling author Linda Fairstein's latest riveting thriller.A wild heart beats within New York City. Amid concrete and skyscrapers, the Wildlife Conservation Society works to preserve and protect the animal kingdom both within and beyond the borders of the five boroughs. But dangerous creatures don't always have claws and fangs, as Assistant DA Alexandra Cooper and NYPD detectives Mike Chapman and Mercer Wallace know all too well. Predators lurk close to home, and in the aftermath of the shocking assassination of an iconic public figure--someone Alex has worked with for years--the trio must unravel the motive behind the shooting to discover who is the bigger snake: the killer or the victim.The murder investigation provides more questions than answers, as a tangled mess of secrets slowly comes to light. From street gangs to secret societies, from big-game hunting to the illegal animal trade, from New York City zoos to the highest offices in city government, Alex has her work cut out for her--especially since the task force handling the investigation, led by the US Attorney, seems to be more against her than with her. As tensions rise between Alex and the feds, she must determine just how far she is willing to go to uncover the truth--and uphold the integrity of the office she has so proudly served.Deadfall proves once again why Linda Fairstein is hailed as ""a champion teller of detective tales"" (USA Today).","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479871657i/32873928.jpg","local","upload\Linda Fairstein\Deadfall_-_Linda_Fairstein.epub","0","0","0.00","0","0","1"
