"id","cat_id","sub_cat_id","author_ids","book_access","title","description","image","url_type","url","download_enable","book_on_rent","book_rent_price","book_rent_time","featured","status"
"50868872","1","1","15843","Free","At The World's End","No Description available","https://dryofg8nmyqjw.cloudfront.net/images/no-cover.png","local","uploads/Irene Trimble/At_the_World's_End_-_Irene_Trimble.epub","0","0","0.00","0","0","1"
"50869645","1","17","16647719","Free","Vale of the Gods","
Vale of the Gods is the explosive conclusion to the epic adventure that has been The Furyck Saga.
Draguta Teros wants to crush her enemies.Every last one of them…Her disloyal sister, Dara.Briggit Halvardar and her Followers.Jael Furyck and her Brekkan army.The gods themselves.But Draguta will not be cowed by any of them.She will have her revenge.They want her?They want to take the Book of Darkness?Let them come and die trying. Note: This book contains adult themes and mature content","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567792900l/50869645.jpg","local","uploads/A. E. Rayne/Vale_of_the_Gods_-_A._E._Rayne.epub","0","0","0.00","0","0","1"
"50871354","1","16","14167264","Free","Essential Magic","A deadly object...  As a procurer of magical artifacts, Nash Thorne has his sights set on an exquisite ruby necklace believed to have been cursed by a Goddess. This particular piece of jewelry is rumored to bring disaster to its wearer and turn one’s heart to evil.  A dangerous task...  Nash’s assistant, Ryanne Caldwell, has certainly witnessed some shady business dealings. But when her boss confesses he’s from a powerful magical family and needs her help to pull off a jewel heist, she flatly refuses—until she discovers her sister is smack in the middle of two feuding factions.  A love worth sacrificing for...  Now, Nash and Ryanne must recover the hexed necklace and extract her sister from the clutches of the Thorne witches’ greatest enemy. However, once the dark magic of the Red Scorpion is unleashed, only an act of selfless love can save them.    Essential Magic, previously released in the collaboration Kiss of the Red Scorpion, has been revised to contain additional chapters and an alternate ending.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567793621l/50871354.jpg","local","upload\T.M. Cromer\Essential_Magic_-_T._M._Cromer.epub","0","0","0.00","0","0","1"
"50890928","1","1","5900266","Free","Instinct to Mate","[Siren Menage Everlasting: Cowboys Menage a Trois Paranormal Romance, MFM, shape-shifters, werewolves, HEA] Connie Juniper’s dream to open her own shop in Wayward, Oklahoma, is finally a reality. Leaving behind her very controlling wanna-be mate is a definite plus. Who knew Luke would follow her, determined to claim her? Werewolf friends, Joe Barrett and Jed Morgan, feel the connection that happens between shifters and their intended mate the moment they see Connie. Better yet, they’re certain she feels the instinctual urge to mate them, too. But Luke, the shifter Joe believes killed his brothers and their future mate years earlier, is determined to lay claim to her. Holding back their need for revenge is hard, but Joe and Jed are willing to do anything for Connie, even put aside their hate for Luke. But will Luke force their hand? Will Connie accept them as her men? Does she already know what they are and can accept it? Or will she choose to go back to Luke? Jane Jamison is a Siren-exclusive author.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568849563l/50890928.jpg","local","upload\Jane Jamison\Instinct_to_Mate_-_Jane_Jamison.epub","0","0","0.00","0","0","1"
"50896655","1","17","9830676,14417592","Free","The Uncommon Rider","
The first dragon rider in over a hundred years has been born. 
And it’s a girl.  
Never before has a female been chosen to ride a dragon. 
The Elite, a guild comprised exclusively of dragon riders, is dead according to most. No one has seen a rider in decades. The problems they used to fight overwhelm the world. Dragons are thought to be near extinction.
However, the Elite aren’t dead…
It’s just that a bunch of crusty, old men who do nothing that benefits the world at large are easy to mistake as useless corpses.
Sophia Beaufont is about to change all of that. 
When the dragon egg that magnetized to her hatches, it sets Sophia on a new course. The Elite are immediately notified. She’s expected to train. To defend. To fight.
Sophia is ready to conquer evil, as the dragon riders should have been doing for centuries. 
However, the Elite have been turning a blind eye, allowing the world to be overrun by criminals.
That’s all about to change. 
S. Beaufont isn’t a girl who will be told to sit down and relax when a war is brewing that only a dragon rider can extinguish.   ","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567819457l/50896655.jpg","local","upload\Sarah Noffke\The_Uncommon_Rider_-_Sarah_Noffke.epub","0","0","0.00","0","0","1"
"50897440","1","17","14768146","Free","Age of Dragons","All my life, I was trained to be the perfect killer.  An assassin. A ghost in the night. The sort of phantom that gives grown men nightmares.  But the woman who raised me to hunt dragon shifters made a mistake, and that blunder left me marked. Magical.  Determined to undo all of this, Zurie is now at war.  With me.  My former mentor won’t stop until I’m dead, but we know each other too well.  Moves. Tactics. Fears. Strengths. Weaknesses.  This will be a gruesome end for one of us—and I don’t care if she is the best assassin in the world.  No one tries to kill me and survives.  Because I’m not the same little girl she took in all those years ago. The one she trained to murder and steal from dragons.  I’m a warrior, something neither human nor dragon. There’s more power brewing within me than even I realize, and it’s about to break free.  And when it does, the world will tremble at my feet.  Age of Dragons is a full-length novel with a badass heroine, a riveting storyline, and an alternative relationship dynamic. Get ready for a heart-pounding story filled with a dragon shifter romance unlike anything you’ve read before.  Buckle in for heart-pounding action, breathtaking magic, deadly assassins, four drop-dead gorgeous leading men, lots of toned muscles, and most importantly—a young woman’s journey of justice, self-discovery, and freedom. Publisher’s Note: The Dragon Dojo Brotherhood is a reverse harem fantasy romance series with explicit scenes and is meant for mature readers who enjoy spellbinding stories with a few fan-your-face moments in their fantasy fiction.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560412332l/50897440.jpg","local","upload\Olivia Ash\Age_of_Dragons_-_Olivia_Ash.epub","0","0","0.00","0","0","1"
"50903241","1","17","14689889","Free","Probationary Agent","Senior year. Two semesters remain before Raine Campbell and her friends graduate from the School of Necessary Magic. What are the chances of two, nice and quiet semesters?  Chances are pretty slim.  Louper finals are in full swing. Raine’s friends are trying to figure out their plans post high school. A teacher is being threatened.  And it wouldn’t be a complete semester without Dark Wizards getting involved. Some evil never learns.  Adventure still finds the students. Raine and her friends encounter a witch with a strange necklace in the kemana. When she invites them to a meeting of a secret society, things get interesting – quick.  Can Raine and her friends determine what the society are up to and save their friend before it’s too late?  Gather up your spells and join Raine and the gang as they tackle a new challenge head on in Probationary Agent. ","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560862307l/50903241.jpg","local","upload\Judith Berens\Probationary_Agent_-_Judith_Berens.epub","0","0","0.00","0","0","1"
"50917649","1","41","17023834","Free","Slave to Ice & Shadows","After escaping an unwanted marriage to the Lizard Prince, several attempts on her life, stopping a war, and discovering who was behind the murders of her family, Odele Malabella must now face a whole new challenge: an engagement to the bastard Prince of Iol.  The only problem?  Being a slave to an ice prince was never part of her plan, and escaping a gaggle of sexy mermen is not easy to do in the cold northern waters.  The Princess of Thalassar may get more than she bargained for on the journey for her freedom where wars and royal lies unravel that could very well change the fate of her heart—and their kingdoms—forever.  A Mermaid Reverse Harem Romance.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564926392l/50917649.jpg","local","upload\Aleera Anaya Ceres\Slave_to_Ice_&_Shadows_-_Aleera_Anaya_Ceres.epub","0","0","0.00","0","0","1"
"50920820","1","25","14689889,318719,14417592","Free","The Girl Revealed","Even though she’s a 400-year-old teenager, Vickie still hasn’t grasped the dangers of modern technology. Everyone has a cellphone and can catch anything on video… It’s only a matter of time before our favorite hero with fangs ends up on everyone’s small screen.  Vickie is using her power more and more often without getting caught. Our girl is growing overconfident. Not a good thing for a teenage vampire in hiding.  Life at home has gotten interesting too. Aunt Renee has come for a visit causing turmoil for the girls and Craig. Throw in two girls at school trying to get Vickie expelled, admissions of love, and a video of Vickie saving a dog… Well, things are about to get a lot more complicated.  And what the heck does it mean to go viral?  Eric recognizes Vickie in the video. The Agency catches the news footage. They know they are on the right track.  Vickie doesn’t realize it, but her good deed has painted a target on her back.  No good deed goes unpunished. Can Vickie and her family survive the fallout from the video? ","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568903202l/50920820.jpg","local","upload\Judith Berens\The_Girl_Revealed_-_Judith_Berens.epub","0","0","0.00","0","0","1"
"50968630","1","20","19532769","Free","Protected by Fire","An Obsessed Alpha Older Man, Younger Woman NovellaRachelA badass, mouth-watering firefighter rescued me from the clutches of a deranged criminal.Despite the steamy attraction between us, I've made other plans.The man saved my life. I can't trust my feelings are based on more than his heroic act.JustinFrom the moment our eyes met, I was spellbound.I wanted to protect her forever.But the sweet school teacher is resisting fate.Time is running out to make her mine.Note: This is a steamy, safe, short romance novella which can be read as a standalone. If you enjoy instalove with heat and sweet, and a satisfying HEA, this is a kindle short read for you.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568939790l/50968630.jpg","local","uploads/Anna Heskin/Protected_by_Fire_(Alpha_Colora_-_Anna_Heskin.epub","0","0","0.00","0","0","1"
