Genre,URL
futurism,https://www.goodreads.com/genres/futurism
futuristic,https://www.goodreads.com/genres/futuristic
gaslamp-fantasy,https://www.goodreads.com/genres/gaslamp-fantasy
gender,https://www.goodreads.com/genres/gender
gender-and-sexuality,https://www.goodreads.com/genres/gender-and-sexuality
gettysburg-campaign,https://www.goodreads.com/genres/gettysburg-campaign
goodreads-choice-awards,https://www.goodreads.com/genres/goodreads-choice-awards
graphic-novels-comics,https://www.goodreads.com/genres/graphic-novels-comics
graphic-novels-comics-manga,https://www.goodreads.com/genres/graphic-novels-comics-manga
graphic-novels-manga,https://www.goodreads.com/genres/graphic-novels-manga
grief,https://www.goodreads.com/genres/grief
gritty,https://www.goodreads.com/genres/gritty
harry-potter,https://www.goodreads.com/genres/harry-potter
he-falls-first,https://www.goodreads.com/genres/he-falls-first
hero-romance,https://www.goodreads.com/genres/hero-romance
hispanic,https://www.goodreads.com/genres/hispanic
historical-drama,https://www.goodreads.com/genres/historical-drama
historical-literary-fiction,https://www.goodreads.com/genres/historical-literary-fiction
history-and-politics,https://www.goodreads.com/genres/history-and-politics
hockey-romance,https://www.goodreads.com/genres/hockey-romance
holiday,https://www.goodreads.com/genres/holiday
holohoax,https://www.goodreads.com/genres/holohoax
horror-thriller,https://www.goodreads.com/genres/horror-thriller
hugo-awards,https://www.goodreads.com/genres/hugo-awards
indigenous,https://www.goodreads.com/genres/indigenous
2,https://www.goodreads.com/genres/list?filter=top-level&page=2&utf8=%E2%9C%93
3,https://www.goodreads.com/genres/list?filter=top-level&page=3&utf8=%E2%9C%93
next »,https://www.goodreads.com/genres/list?filter=top-level&page=2&utf8=%E2%9C%93
Art,https://www.goodreads.com/genres/art
Biography,https://www.goodreads.com/genres/biography
Business,https://www.goodreads.com/genres/business
Children's,https://www.goodreads.com/genres/children-s
Christian,https://www.goodreads.com/genres/christian
Classics,https://www.goodreads.com/genres/classics
Comics,https://www.goodreads.com/genres/comics
Cookbooks,https://www.goodreads.com/genres/cookbooks
Ebooks,https://www.goodreads.com/genres/ebooks
Fantasy,https://www.goodreads.com/genres/fantasy
Fiction,https://www.goodreads.com/genres/fiction
Graphic Novels,https://www.goodreads.com/genres/graphic-novels
Historical Fiction,https://www.goodreads.com/genres/historical-fiction
History,https://www.goodreads.com/genres/history
Horror,https://www.goodreads.com/genres/horror
Memoir,https://www.goodreads.com/genres/memoir
Music,https://www.goodreads.com/genres/music
Mystery,https://www.goodreads.com/genres/mystery
Nonfiction,https://www.goodreads.com/genres/non-fiction
Poetry,https://www.goodreads.com/genres/poetry
Psychology,https://www.goodreads.com/genres/psychology
Romance,https://www.goodreads.com/genres/romance
Science,https://www.goodreads.com/genres/science
Science Fiction,https://www.goodreads.com/genres/science-fiction
Self Help,https://www.goodreads.com/genres/self-help
Sports,https://www.goodreads.com/genres/sports
Thriller,https://www.goodreads.com/genres/thriller
Travel,https://www.goodreads.com/genres/travel
Young Adult,https://www.goodreads.com/genres/young-adult
Art,https://www.goodreads.com/genres/art
Biography,https://www.goodreads.com/genres/biography
Business,https://www.goodreads.com/genres/business
Children's,https://www.goodreads.com/genres/children-s
Christian,https://www.goodreads.com/genres/christian
Classics,https://www.goodreads.com/genres/classics
Comics,https://www.goodreads.com/genres/comics
Cookbooks,https://www.goodreads.com/genres/cookbooks
Ebooks,https://www.goodreads.com/genres/ebooks
Fantasy,https://www.goodreads.com/genres/fantasy
Fiction,https://www.goodreads.com/genres/fiction
Graphic Novels,https://www.goodreads.com/genres/graphic-novels
Historical Fiction,https://www.goodreads.com/genres/historical-fiction
History,https://www.goodreads.com/genres/history
Horror,https://www.goodreads.com/genres/horror
Memoir,https://www.goodreads.com/genres/memoir
Music,https://www.goodreads.com/genres/music
Mystery,https://www.goodreads.com/genres/mystery
Nonfiction,https://www.goodreads.com/genres/non-fiction
Poetry,https://www.goodreads.com/genres/poetry
Psychology,https://www.goodreads.com/genres/psychology
Romance,https://www.goodreads.com/genres/romance
Science,https://www.goodreads.com/genres/science
Science Fiction,https://www.goodreads.com/genres/science-fiction
Self Help,https://www.goodreads.com/genres/self-help
Sports,https://www.goodreads.com/genres/sports
Thriller,https://www.goodreads.com/genres/thriller
Travel,https://www.goodreads.com/genres/travel
Young Adult,https://www.goodreads.com/genres/young-adult
investigative,https://www.goodreads.com/genres/investigative
jewellery,https://www.goodreads.com/genres/jewellery
jewish-question,https://www.goodreads.com/genres/jewish-question
justice,https://www.goodreads.com/genres/justice
kennedy-family,https://www.goodreads.com/genres/kennedy-family
lapidary,https://www.goodreads.com/genres/lapidary
latino,https://www.goodreads.com/genres/latino
latinx,https://www.goodreads.com/genres/latinx
lgbt,https://www.goodreads.com/genres/lgbt
lgbt-romance,https://www.goodreads.com/genres/lgbt-romance
literary-horror,https://www.goodreads.com/genres/literary-horror
live-action-roleplaying,https://www.goodreads.com/genres/live-action-roleplaying
love,https://www.goodreads.com/genres/love
mafia-romance,https://www.goodreads.com/genres/mafia-romance
mary-shelley,https://www.goodreads.com/genres/mary-shelley
medical,https://www.goodreads.com/genres/medical
meditation,https://www.goodreads.com/genres/meditation
middle-east,https://www.goodreads.com/genres/middle-east
mindfullness,https://www.goodreads.com/genres/mindfullness
monster-romance,https://www.goodreads.com/genres/monster-romance
morally-gray,https://www.goodreads.com/genres/morally-gray
morally-grey,https://www.goodreads.com/genres/morally-grey
moroccan,https://www.goodreads.com/genres/moroccan
museology,https://www.goodreads.com/genres/museology
mythical-creatures,https://www.goodreads.com/genres/mythical-creatures
