id,name,info,image,facebook_url,instagram_url,youtube_url,website_url,status
28550,Katie MacAlister,"For as long as she can remember, Katie MacAlister has loved reading. Growing up in a family where a weekly visit to the library was a given, Katie spent much of her time with her nose buried in a book. Despite her love for novels, she didn't think of writing them until she was contracted to write a non-fiction book about software. Since her editor refused to allow her to include either witty dialogue or love scenes in the software book, Katie swiftly resolved to switch to fiction, where she could indulge in world building, tormenting characters, and falling madly in love with all her heroes.Two years after she started writing novels, Katie sold her first romance, Noble Intentions. More than thirty books followed during the years after Noble",https://images.gr-assets.com/authors/1214249622p5/28550.jpg,https://www.facebook.com/katie.mac.minions/,https://www.instagram.com/katiemacalister2015/?hl=en,https://www.youtube.com/user/Blechy23,https://katiemacalister.com/,1
5515028,Donato,No Author Description,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/MadeByDonato/,https://www.instagram.com/thedonato/?hl=en,https://www.youtube.com/c/thedonato,https://danieldonato.com/,1
126130,Celine Conway,"Lilian Warren aka Rosalind Brett and Kathryn Blair.Lilian Warren was born in London, England, UK. She worked as secretary, when at 19, her first magazine story was accepted. She married and moved to South Africa, where she continued writing. In the 1950s, she started to write to Rich & Cowan, and later to Mills & Boon, under various pseudonyms Rosalind Brett, Celine Conway, and Kathryn Blair. She passed away on 1961 in South Africa. Some of her books were published posthumuously.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/public/Celine-Conway/,https://www.instagram.com/conwayceline/,https://www.youtube.com/channel/UCI_glWQBuqWuAkwxjOflOwg?feature=applinks,https://www.scribd.com/document/338640870/Celine-Conway-The-Tall-Pines,1
1982,Valerie Parv,"Valerie Christine Parv was a popular Australian writer of over 70 romance novels, with more than 34 million sales. She published her novels in Mills & Boon's since 1982.",https://images.gr-assets.com/authors/1354694579p5/1982.jpg,https://www.facebook.com/photo.php?fbid=3713398868671120&id=151360788208297&set=p.3713398868671120,https://www.instagram.com/p/CXVwoFxvKLs/,https://www.youtube.com/watch?v=IBY-ECQgcmY,https://en.wikipedia.org/wiki/Valerie_Parv,1
1713675,Trip Park,No Author Description,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/groups/190827624379373/,https://www.instagram.com/trip.park/?hl=en,https://www.youtube.com/channel/UCeDsih_EKsREQtTvbXBXAEA/videos,https://www.tripparkstudio.com/,1
238243,Dick Hill,"Voice actor, actor, playwright, author. As a Golden Voice (so honored by Audiofile Magazine), winner of 3 Audies and dozens of Earphone Awards, Dick Hill brings his own personal touch of vocal creativity to every project.He brings stories to life with a wide variety of characterizations, dialects, and accents...reviewers have compared his work to a full cast recording. His rich baritone and insightful interpretations have also earned him praise for his many non-fiction titles.Publishers and authors speak highly of Dick's work, too. Best selling thrill-master LEE CHILD , whose award winning Jack Reacher novel ONE SHOT earned Dick an Audie nomination for best solo male narrator and is on its way to the big screen, says:""While few audiobook fa",https://images.gr-assets.com/authors/1571414598p5/238243.jpg,https://www.facebook.com/dickhillaudionarrator/,https://www.instagram.com/richardhill_/,https://www.youtube.com/@dickhill0184,/search?num=12,1
647703,Misao Hoshiai,See also  星合 操,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,,https://www.instagram.com/misaocollective/,https://www.youtube.com/channel/UCBrxd1Mum2cYH7DOxo2exJA,https://misao.fandom.com/wiki/Main_Page,1
4340042,Books LLC,"Books LLC is a reprint publisher of nonfiction and fiction which is out of copyright. Books LLC is not a licensed reseller or editor of modern, in-copyright novels.Books LLC also publishes compilations of Wikipedia articles (e.g., Wikipedia articles about books, rather than the books themselves).",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/communitybooksllc/,https://www.instagram.com/allaboutbooksllc/,https://www.youtube.com/channel/UCri9QOvcoAooXYuRy9s5vIQ?view_as=subscriber,https://en.wikipedia.org/wiki/Books_LLC,1
259377,P.M. Griffin,Longer name: Pauline M. Griffin,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/griffpost/,https://www.instagram.com/peterpumpkineater69/?hl=en,https://www.youtube.com/watch?v=2fuyRTIw2sc,https://pmgriffin.net/,1
84003,Robin   Moore,"Robert Lowell ""Robin"" Moore, Jr. was an writer best known for his books The Green Berets: The Amazing Story of the U.S. Army's Elite Special Forces Unit,The French Connection: A True Account of Cops Narcotics and International Conspiracy and, with Xaviera Hollander and Yvonne Dunleavy, The Happy Hooker: My Own Story.Moore also co-wrote the lyrics with Barry Sadler for the Ballad of the Green Berets, which was one of the major hit songs of 1966. At the time of his death, Moore was residing in Hopkinsville, Kentucky (home to Fort Campbell and the 5th Special Forces Group) where he was working on his memoirs as well as three other books. During World War II he served as a nose gunner in the U.S. Army Air Corps, flying combat missions in the Eu",https://images.gr-assets.com/authors/1309570377p5/84003.jpg,https://www.facebook.com/public/Robin-Moore/,https://www.instagram.com/robindmoore/,https://www.youtube.com/RobinMoore,https://www.robindmoore.com/,1
115316,Milt Machlin,"Milt Machlin was an American journalist, author and adventurer. He is best known for coining the phrases ""Bermuda Triangle"" and ""Abominable Snowman,"" as well as his expedition to find scion Michael Rockefeller, who disappeared in New Guinea in 1961. He served in the Pacific theater during World War II. He graduated from Brown University and attended the Sorbonne, studying in the Coeur de Civilization. He was the editor of Argosy magazine and the author of numerous books, fiction and nonfiction, including Ninth Life, Libby, The Search For Michael Rockefeller, Joshua's Altar; The Dig at Mount Ebal, Atlanta, Pipeline, The Worldshakers, Strangers in the Land, Gossip Wars, and The Family Man, also with Robin Moore. He received an Edgar Allen Poe",https://images.gr-assets.com/authors/1475051434p5/115316.jpg,https://www.facebook.com/photo.php?fbid=10152384180243150&id=375932848149&set=a.10152384179893150,https://www.instagram.com/abu_dhabi_reading_corner/p/DIHn3ESOQC4/,https://www.youtube.com/watch?v=xZzPSz4dNd8,https://en.wikipedia.org/wiki/Milt_Machlin,1
336767,Jon F. Merz,"As a writer, Jon has published over 40 novels with major publishers like Kensington's Pinnacle Books, St. Martin's Press, and many more. He is also the author of eleven installments in the internationally bestselling adventure series Rogue Angel (2006-present) with Harlequin's Gold Eagle line. His short fiction story ""Prisoner 392"" (appeared alongside Stephen King in FROM THE BORDERLANDS, 2004, Warner Books) earned him an Honorable Mention in 2004's Year's Best Fantasy & Horror edited by Ellen Datlow. Jon has also co-authored two non-fiction books: LEARNING LATER, LIVING GREATER with Nancy Merz Nordstrom (2006, Sentient Publications) and THE COMPLETE IDIOT'S GUIDE TO ULTIMATE FIGHTING with Rich ""Ace"" Franklin (2007, Alpha Books/Penguin/Putn",https://images.gr-assets.com/authors/1570826819p5/336767.jpg,https://www.facebook.com/public/Jon-F.-Merz/,https://www.instagram.com/jonfmerzofficial/?hl=en,https://www.youtube.com/user/jonfmerz,https://en.wikipedia.org/wiki/Jon_F._Merz,1
20353521,Yahya Elhadef,No Author Description,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/yahya.elhadef,,https://www.youtube.com/@YahyaElhadef-b2v,https://en.wikipedia.org/wiki/Yahya_Ould_Ahmed_El_Waghef,1
128235,Jennifer Blake,"A pseudonym used by Patricia Maxwell.Jennifer Blake has been called a “pioneer of the romance genre”, and an “icon of the romance industry.” A New York Times and international best selling author since 1977, she is a charter member of Romance Writers of America, member of the RWA Hall of Fame, and recipient of the RWA Lifetime Achievement Rita. She holds numerous other honors, including two “Maggies”, two Holt Medallions, multiple Reviewer’s Choice Awards, the Career Achievement Award from Romantic Times BookReviews Magazine, and the Frank Waters Award for literary excellence. She has written over 60 books with translations in 20 languages and more than 30 million copies in print worldwide. Jennifer and her husband reside in a lakeside Cari",https://images.gr-assets.com/authors/1316187648p5/128235.jpg,https://www.facebook.com/jenniferdblake/,https://www.instagram.com/thisjenniferblake/?hl=en,https://www.youtube.com/channel/UCa3SMlPZfgjQJnp42VAaUNA,https://jenniferblakeauthor.com/,1
30819,Heather    Graham,"Also published as Heather Graham Pozzessere and Shannon Drake.New York Times and USA Today best-selling author Heather Graham majored in theater arts at the University of South Florida. After a stint of several years in dinner theater, back-up vocals, and bartending, she stayed home after the birth of her third child and began to write, working on short horror stories and romances. After some trial and error, she sold her first book, WHEN NEXT WE LOVE, in 1982 and since then, she has written over one hundred novels and novellas including category, romantic suspense, historical romance, vampire fiction, time travel, occult, and Christmas holiday fare. She wrote the launch books for the Dell's Ecstasy Supreme line, Silhouette's Shadows, and f",https://images.gr-assets.com/authors/1258112542p5/30819.jpg,https://www.facebook.com/HeatherGrahamAuthor/,https://www.instagram.com/imheathergraham/?hl=en,https://www.youtube.com/@heathergraham3440,https://www.theoriginalheathergraham.com/,1
72305,Carol Ellis,"Carol Ellis is an American author of young adult and children’s fiction. Her first novel, My Secret Admirer, was published in 1989 by Scholastic as part of their popular Point Thriller line.She went on to write over fifteen novels, including a few titles in the Zodiac Chillers series published by Random House in the mid-1990s, and two titles in The Blair Witch Files series for young adults, published by Bantam between 2000 and 2001.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/public/Carol-Ellis/,https://www.instagram.com/crlellis/,https://www.youtube.com/channel/UC2mXqFtpuWOzdPOOJsXHC2Q,https://www.carolellis.com/,1
333915,Jeffrey Cohen,"Librarian Note: There is more than one author in the Goodreads database with this name. Author of the Double Feature Mystery series from Berkley Prime Crime, starting with Some Like It Hot-Buttered, and continuing in July 2008 with It Happened One Knife. Also author of the Aaron Tucker Mystery series: For Whom the Minivan Rolls, A Farewell to Legs, and As Dog Is My Witness. Wrote two books on raising a child with Asperger's Syndrome.""",https://images.gr-assets.com/authors/1204922359p5/333915.jpg,https://www.facebook.com/public/Jeffrey-Cohen/,https://www.instagram.com/jeff_b_cohen/?hl=en,https://www.youtube.com/user/MrJeff2000HBK,https://www.jeffreyjeromecohen.com/,1
63460,Joseph Finder,"Joseph Finder is the author of the forthcoming novel JUDGMENT and fourteen other novels, many of them New York Times bestsellers, published in 35 countries around the world. His book HIGH CRIMES was adapted into a movie starring Morgan Freeman and Ashley Judd; PARANOIA was made into the Harrison Ford/Gary Oldman film. He was born in Chicago, lived in the Philippines, Afghanistan, Washington State, and upstate New York. His novels have won numerous awards, including the Strand Critics award, the Barry Award, and the International Thriller Writers’ Thriller Award for best novel. His first novel, THE MOSCOW CLUB, was named by Publishers Weekly as one of the 10 best spy novels of all time. He lives with his wife in Boston and Cape Cod, where he",https://images.gr-assets.com/authors/1539972724p5/63460.jpg,https://www.facebook.com/josephfinder/,https://www.instagram.com/josephfinderbooks/?hl=en,https://www.youtube.com/user/josephfinder,https://josephfinder.com/,1
31475796,Laurence Schwinger,No Author Description,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/lschwinger/,https://www.instagram.com/p/Cs3sNs7La5l/,https://www.youtube.com/watch?v=ehnEj187jwk,https://laurenceschwinger.artspan.com/index.php,1
61277,A.C. Crispin,"Ann Carol Crispin (1950-2013) was an American science fiction writer, the author of over twenty published novels. She wrote professionally since 1983. She wrote several Star Trek and Star Wars novels, and created her own original science fiction series called Starbridge.Crispin also served as Eastern Regional Director, and then Vice President, of the Science Fiction and Fantasy Writers of America. With Victoria Strauss, she founded Writer Beware, a ""watchdog"" group that is part of SFWA that warns aspiring writers about the dangers of scam agents, editors, and publishers. Writer Beware was founded in 1998, and has assisted law enforcement and civil authorities in tracking and shutting down writing scams.Crispin, who also wrote a prequel prov",https://images.gr-assets.com/authors/1300121737p5/61277.jpg,https://www.facebook.com/bobafettfanclub/photos/remembering-the-late-ac-crispin-on-the-anniversary-of-her-birthday-today-she-wro/1118382346968842/,https://www.instagram.com/p/CaeYgEFqRmj/,https://www.youtube.com/watch?v=z0bxfIb4KLc,http://accrispin.com/,1
2895898,Bronson Pinchot,"Bronson Pinchot, an Audie® Award–winning narrator, received his education at Yale University, which filled out what he had already received at his mother's knee in the all-important areas of Shakespeare, Greek art and architecture, and the Italian Renaissance. He restores Greek Revival buildings and appears in television, film, and on stage whenever the pilasters and entablatures overwhelm him.When Bronson Pinchot began auditioning for Broadway roles, he refused to do accents. Years later, his ability to do accents is what gave him his first break in film and led to television success as Balki Bartokomous, the odd cousin from a Balkan nation who comes to live with Mark Linn-Baker on the sitcom ""Perfect Strangers"" (1986).Pinchot was born in",https://images.gr-assets.com/authors/1347076537p5/2895898.jpg,https://www.facebook.com/bpinchotonline/,https://www.instagram.com/bronsonpinchot/?hl=en,https://www.youtube.com/@BronsonAlcottPinchot,https://bronsonpinchot.org/,1
20740982,Summary Express,No Author Description,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/express/,https://www.instagram.com/express/?hl=en,https://www.youtube.com/@summaryExpress,https://www.africakenyasafaris.com/holiday-experiences/madaraka-express-sgr-train-schedule/,1
302363,Laura Iding,"FROM THE PUBLISHER'S WEBSITE:During her childhood years Laura Iding spent hours writing love stories, convinced she'd be an author when she grew up. But her parents convinced her to get a real job so she went to college to become a registered nurse. While she loved being a critical-care nurse, she eventually came back to her first love, writing. She's thrilled to combine her two favorite careers into one, writing Medical Romances for Harlequin while still keeping her job in the hospital. Laura lives with her husband of twenty-five years and is enjoying life as an empty nester now that her two adult children are in college. With twenty books already in publication, she hopes to have many more. Also writes as Laura Scott",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/1665px-No-Image-Placeholder.svg.png,https://www.facebook.com/laura.iding.9/,https://www.instagram.com/laurascottbooks/?hl=en,https://www.youtube.com/channel/UC4Hnw7SUsxA5vLZvjWxkH-w/videos,https://www.harlequin.com/shop/authors/12522_laura-iding.html?srsltid=AfmBOookFaTiwmaYUofzC82Lda9SPRtElrD0eaCg770JEZkt93NNS9uR,1
