folder_name,path,count
Jenna Kernan,D:\Novels Library\Final_all_books\Jenna Kernan,37
Terry Brooks,D:\Novels Library\Final_all_books\Terry Brooks,37
Maureen Child,D:\Novels Library\Final_all_books\Maureen Child,36
Michelle Reid,D:\Novels Library\Final_all_books\Michelle Reid,36
Michelle M. Pillow,D:\Novels Library\Final_all_books\Michelle M. Pillow,35
P. C. Cast,D:\Novels Library\Final_all_books\P. C. Cast,35
Sara Craven,D:\Novels Library\Final_all_books\Sara Craven,35
Abby Green,D:\Novels Library\Final_all_books\Abby Green,34
Anna J. Stewart,D:\Novels Library\Final_all_books\Anna J. Stewart,34
Caitlin Crews,D:\Novels Library\Final_all_books\Caitlin Crews,34
Christine Merrill,D:\Novels Library\Final_all_books\Christine Merrill,34
Cindy Dees,D:\Novels Library\Final_all_books\Cindy Dees,34
J. R. Rain,D:\Novels Library\Final_all_books\J. R. Rain,34
Michael Todd,D:\Novels Library\Final_all_books\Michael Todd,34
Seanan McGuire,D:\Novels Library\Final_all_books\Seanan McGuire,34
Addison Fox,D:\Novels Library\Final_all_books\Addison Fox,33
Claire Delacroix,D:\Novels Library\Final_all_books\Claire Delacroix,33
Geri Krotow,D:\Novels Library\Final_all_books\Geri Krotow,33
Melanie Milburne,D:\Novels Library\Final_all_books\Melanie Milburne,33
Rachel Caine,D:\Novels Library\Final_all_books\Rachel Caine,33
Tom Abrahams,D:\Novels Library\Final_all_books\Tom Abrahams,33
Deb Marlowe,D:\Novels Library\Final_all_books\Deb Marlowe,32
Doranna Durgin,D:\Novels Library\Final_all_books\Doranna Durgin,32
Elizabeth Bear,D:\Novels Library\Final_all_books\Elizabeth Bear,32
Jennifer L. Armentrout,D:\Novels Library\Final_all_books\Jennifer L. Armentrout,32
Michael Connelly,D:\Novels Library\Final_all_books\Michael Connelly,32
Debbie Herbert,D:\Novels Library\Final_all_books\Debbie Herbert,31
Diana Hamilton,D:\Novels Library\Final_all_books\Diana Hamilton,31
James S. A. Corey,D:\Novels Library\Final_all_books\James S. A. Corey,31
Milly Taiden,D:\Novels Library\Final_all_books\Milly Taiden,31
Andrea Laurence,D:\Novels Library\Final_all_books\Andrea Laurence,30
David Gemmell,D:\Novels Library\Final_all_books\David Gemmell,30
Deborah Fletcher Mello,D:\Novels Library\Final_all_books\Deborah Fletcher Mello,30
Jane Godman,D:\Novels Library\Final_all_books\Jane Godman,30
Jennie Lucas,D:\Novels Library\Final_all_books\Jennie Lucas,30
Katherine Kurtz,D:\Novels Library\Final_all_books\Katherine Kurtz,30
L. J. Smith,D:\Novels Library\Final_all_books\L. J. Smith,30
Meghan March,D:\Novels Library\Final_all_books\Meghan March,30
Mia Sheridan,D:\Novels Library\Final_all_books\Mia Sheridan,30
Michelle Smart,D:\Novels Library\Final_all_books\Michelle Smart,30
Patricia Rice,D:\Novels Library\Final_all_books\Patricia Rice,30
Richelle Mead,D:\Novels Library\Final_all_books\Richelle Mead,30
Stella Bagwell,D:\Novels Library\Final_all_books\Stella Bagwell,30
Brenda Trim,D:\Novels Library\Final_all_books\Brenda Trim,29
Helen Dickson,D:\Novels Library\Final_all_books\Helen Dickson,29
Jane Porter,D:\Novels Library\Final_all_books\Jane Porter,29
Karen Rose Smith,D:\Novels Library\Final_all_books\Karen Rose Smith,29
Kresley Cole,D:\Novels Library\Final_all_books\Kresley Cole,29
