aid
344258461340
3128534
16881
427250
66128
2912746
18270659
4851182
6941
218826
41180
2777560
21981355
7431
10365
12718
82466
160174
6459482
2284779
8686
16062899
4987385
79594
4089389
8407793
488594
43714065
43714066
13673487
317939
838493
24994639
19474
1220404
711331
610751
46040
